id,Edificio,P1a,P1b,P2,P3,P4,P5a,P5b,P5c,P5d,P6,P7,P8,P9,P10a,P10b,P10c,P10d,P11,P12,P13,P14,P15,P16
1,13,1,3,1,2,3,1,3,3,2,3,3,3,1,1,1,3,2,3,4,3,3,2,2
2,13,2,3,1,3,1,3,3,2,3,3,3,2,2,2,3,2,1,3,3,3,3,2,2
3,6,2,3,4,2,1,2,3,0,2,3,3,3,2,2,2,2,2,3,3,3,1,2,2
4,6,1,0,2,3,1,3,2,3,1,2,2,2,1,1,2,2,3,3,4,3,3,2,2
5,6,1,3,3,3,3,3,0,0,1,3,3,3,3,3,0,0,0,3,4,3,2,2,2
6,6,2,3,1,3,3,3,3,1,1,3,3,3,3,2,3,2,2,3,4,3,1,2,2
7,6,1,1,2,2,0,2,2,3,3,1,2,2,1,1,2,2,2,2,3,2,1,2,2
8,6,3,3,3,3,3,3,2,1,1,3,2,3,3,3,3,3,3,3,4,3,3,2,2
9,6,3,3,4,2,1,2,1,2,2,1,1,2,1,1,1,2,2,2,3,2,1,2,2
10,6,3,3,1,3,3,3,3,3,1,3,3,3,1,1,2,1,1,3,4,3,1,2,2
11,6,3,3,2,2,3,3,3,1,2,3,3,3,1,1,2,3,3,3,4,3,3,2,2
12,6,3,3,1,3,3,3,3,3,1,3,3,3,2,2,2,3,3,3,3,3,2,2,2
13,6,3,3,3,3,3,2,3,0,1,3,3,3,1,1,1,1,1,3,3,3,1,2,2
14,6,3,0,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,3,3,2,2
15,6,3,3,3,3,3,3,3,1,1,3,3,3,2,3,2,2,2,2,4,3,2,2,1
16,6,3,3,2,3,3,2,2,2,1,3,3,3,2,2,2,2,2,3,3,3,1,2,2
17,6,3,0,1,2,1,3,0,0,1,2,1,1,3,2,2,2,2,3,3,2,1,2,1
18,6,2,3,1,1,1,1,1,2,2,2,3,1,3,2,2,2,2,3,3,2,3,1,1
19,6,3,0,3,3,3,0,0,0,1,3,3,0,3,3,3,3,3,3,3,3,1,2,2
20,6,1,1,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,4,3,1,2,2
21,6,3,1,2,2,3,2,2,0,1,1,3,2,1,1,2,2,1,3,3,2,3,2,1
22,6,3,3,2,2,1,2,2,1,1,1,1,3,2,1,2,2,2,3,3,2,1,2,2
23,6,3,3,3,3,3,2,2,2,3,3,3,3,1,1,1,1,1,3,3,3,1,2,2
24,6,3,3,2,2,1,2,3,1,2,3,2,3,3,3,3,3,3,3,3,3,1,2,2
25,6,3,3,2,3,3,3,3,3,1,2,3,3,1,1,1,2,3,3,4,3,1,2,2
26,6,2,1,1,0,3,3,3,0,1,3,3,3,2,1,2,2,2,3,4,3,3,2,2
27,6,3,0,2,2,1,2,3,2,2,2,3,2,3,3,3,2,3,3,3,2,1,2,2
28,6,3,3,2,3,3,2,2,1,1,3,3,2,1,1,1,2,1,3,3,3,1,2,2
29,6,1,1,1,3,3,2,2,1,1,3,3,2,1,1,1,1,1,3,3,3,1,2,2
30,6,2,0,1,2,1,2,2,3,3,1,3,2,2,2,2,2,2,3,3,2,1,2,2
31,6,2,3,3,3,3,0,0,0,1,3,3,3,1,1,1,1,1,3,4,3,3,2,2
32,6,2,3,2,3,3,3,3,1,2,3,3,3,2,2,2,3,3,3,3,3,1,2,2
33,6,3,3,1,3,3,3,3,3,3,3,3,3,1,2,2,2,2,3,3,3,2,2,2
34,6,1,3,2,3,3,3,0,0,0,3,2,0,1,2,0,0,0,3,3,2,1,2,2
35,6,3,3,3,3,3,3,3,0,1,3,3,3,2,2,3,3,3,3,4,3,3,2,2
36,12,3,3,1,1,1,2,2,1,1,3,3,1,1,2,1,1,1,3,3,1,3,2,2
37,12,2,3,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,1,2,2
38,6,1,1,2,2,1,2,3,2,3,2,2,2,1,1,2,2,2,3,3,3,1,2,2
39,6,2,3,3,3,3,2,3,2,2,2,2,2,1,2,1,2,3,3,4,3,1,2,2
40,6,1,3,3,3,3,3,3,1,1,3,3,3,2,2,2,3,3,3,4,3,2,2,2
41,6,3,3,3,3,3,3,3,1,1,3,3,3,1,1,2,2,2,3,3,3,2,2,2
42,6,1,0,3,3,3,3,3,1,2,3,3,3,1,1,1,2,3,3,3,3,3,2,2
43,6,3,3,3,3,3,2,3,2,0,3,3,3,3,3,3,2,3,3,3,3,3,2,2
44,6,1,1,3,1,1,2,2,3,3,3,3,2,1,1,1,1,2,3,4,2,1,2,2
45,6,3,3,2,3,3,3,3,2,1,3,1,3,3,2,2,3,3,3,3,3,1,2,2
46,6,2,1,1,1,1,0,0,0,0,3,3,2,2,1,0,0,0,1,3,1,1,2,2
47,6,1,1,3,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2
48,6,2,3,2,3,3,3,2,1,1,2,3,3,2,2,2,2,2,3,3,3,2,2,2
49,6,2,3,3,1,1,1,2,3,3,3,3,3,2,2,2,2,3,3,3,1,1,2,2
50,6,2,3,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,3,3,2,1,2,2
51,6,1,1,1,1,1,3,3,1,1,3,3,2,2,2,2,0,2,3,3,2,1,2,2
52,6,3,3,2,3,3,3,3,3,1,3,2,2,2,0,0,0,0,3,3,3,2,2,2
53,6,3,3,1,3,3,3,3,1,1,3,3,3,2,2,2,2,2,2,3,3,3,2,2
54,6,2,3,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,3,3,2,3,2,2
55,6,3,3,1,1,1,3,1,3,0,3,2,0,2,3,3,2,2,2,2,1,1,2,2
56,6,2,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2
